opis;dzielnica;pokoje;cena;metraz;cena_za_metr;link;data;
3 pokoje 60m2 nowe budownictwo-Œródmieœcie;: Œródmieœcie;3 pokoje;515000;60,61;8 497;https://www.otodom.pl/oferta/3-pokoje-60m2-nowe-budownictwo-srodmiescie-ID3WZ2Q.html#3f7ebb237a;2019-03-07 15:26:01.295509;
2 pokoje inwestycyjnie-Centrum;: Œródmieœcie;2 pokoje;399000;40,04;9 965;https://www.otodom.pl/oferta/2-pokoje-inwestycyjnie-centrum-ID3WZ2M.html#3f7ebb237a;2019-03-07 15:26:01.295509;
2 pokoje inwestycyjnie-Centrum;: Œródmieœcie;2 pokoje;349000;34,93;9 991;https://www.otodom.pl/oferta/2-pokoje-inwestycyjnie-centrum-ID3WZ2I.html#3f7ebb237a;2019-03-07 15:26:01.295509;
2 pokoje inwestycyjnie-Centrum;: Œródmieœcie;2 pokoje;349000;33,40;10 449;https://www.otodom.pl/oferta/2-pokoje-inwestycyjnie-centrum-ID3WZ2E.html#3f7ebb237a;2019-03-07 15:26:01.295509;
2/3 pokoje w nowym budownictwie - Kliny;: Kliny-Zacisze;3 pokoje;379000;62,80;6 035;https://www.otodom.pl/oferta/2-3-pokoje-w-nowym-budownictwie-kliny-ID3WZ2v.html#3f7ebb237a;2019-03-07 15:26:01.295509;
Mieszkanie, 47 , Kraków;: Pr¹dnik Czerwony;3 pokoje;320500;47,00;6 819;https://www.otodom.pl/oferta/mieszkanie-47-m-krakow-ID3WYX6.html#3f7ebb237a;2019-03-07 15:26:01.295509;
Mieszkanie, 52 , Kraków;: Krowodrza;3 pokoje;388000;52,00;7 462;https://www.otodom.pl/oferta/mieszkanie-52-m-krakow-ID3WYTm.html#3f7ebb237a;2019-03-07 15:26:01.295509;
Gotowe mieszkanie w nowym bloku!;: Nowa Huta;1 pokój;215000;29,19;7 366;https://www.otodom.pl/oferta/gotowe-mieszkanie-w-nowym-bloku-ID3WYS0.html#3f7ebb237a;2019-03-07 15:26:01.295509;
2-pokojowe z Ogródkiem, Gotowe VI 2019, ¯abiniec;: ¯abiniec;2 pokoje;385000;56,50;6 814;https://www.otodom.pl/oferta/2-pokojowe-z-ogrodkiem-gotowe-vi-2019-zabiniec-ID3WYQ4.html#3f7ebb237a;2019-03-07 15:26:01.295509;
Z widokiem na Wawel, winda w kamienicy, antresola;: Kazimierz;1 pokój;390000;30,00;13 000;https://www.otodom.pl/oferta/z-widokiem-na-wawel-winda-w-kamienicy-antresola-ID3WYHa.html#3f7ebb237a;2019-03-07 15:26:01.296512;
Mieszkanie 3 pok. na sprzeda¿ - 65m2 - Kurdwanów;: Kurdwanów;3 pokoje;449000;65,00;6 908;https://www.otodom.pl/oferta/mieszkanie-3-pok-na-sprzedaz-65m2-kurdwanow-ID3WYCI.html#3f7ebb237a;2019-03-07 15:26:01.296512;
dwupoziomowy szeregowiec Pr¹dnik Bia³y;: Pr¹dnik Bia³y;4 pokoje;670000;72,00;9 306;https://www.otodom.pl/oferta/dwupoziomowy-szeregowiec-pradnik-bialy-ID3WYxa.html#3f7ebb237a;2019-03-07 15:26:01.296512;
Mieszkanie na Krowodrzy 2 pokoje 38m2 inwestycja;: Krowodrza Górka;2 pokoje;259000;38,00;6 816;https://www.otodom.pl/oferta/mieszkanie-na-krowodrzy-2-pokoje-38m2-inwestycja-ID3WYxm.html#3f7ebb237a;2019-03-07 15:26:01.296512;
dwupoziomowy apartament stare Miasto, gara¿;: Centrum;4 pokoje;939000;86,00;10 919;https://www.otodom.pl/oferta/dwupoziomowy-apartament-stare-miasto-garaz-ID3WYx6.html#3f7ebb237a;2019-03-07 15:26:01.296512;
Nowoczesne mieszkanie 29m2;: Kazimierz;1 pokój;408000;29,00;14 069;https://www.otodom.pl/oferta/nowoczesne-mieszkanie-29m2-ID3WYx2.html#3f7ebb237a;2019-03-07 15:26:01.296512;
1 pok Agatowa 27m2 Nowe;: ocieñ;3 pokoje;188000;27,00;6 963;https://www.otodom.pl/oferta/1-pok-agatowa-27m2-nowe-ID3WYvY.html#3f7ebb237a;2019-03-07 15:26:01.296512;
4 pok Grota Roweckiego;: Ruczaj;4 pokoje;642000;76,88;8 351;https://www.otodom.pl/oferta/4-pok-grota-roweckiego-ID3WYvU.html#3f7ebb237a;2019-03-07 15:26:01.296512;
3 pok. Agatowa;: ocieñ;3 pokoje;275000;49,00;5 612;https://www.otodom.pl/oferta/3-pok-agatowa-ID3WYvQ.html#3f7ebb237a;2019-03-07 15:26:01.296512;
Kapelanka 6a - high standard - parking place!;: Dêbniki;2 pokoje;545000;49,80;10 944;https://www.otodom.pl/oferta/kapelanka-6a-high-standard-parking-place-ID3WYuc.html#3f7ebb237a;2019-03-07 15:26:01.296512;
2 pok. gotowe do zamieszkania! Bieñczyce Okazja;: Bieñczyce;2 pokoje;265000;37,00;7 162;https://www.otodom.pl/oferta/2-pok-gotowe-do-zamieszkania-bienczyce-okazja-ID3WYrC.html#3f7ebb237a;2019-03-07 15:26:01.296512;
Prokocim, 3 pokoje;: Bie¿anów-Prokocim;3 pokoje;315000;51,20;6 152;https://www.otodom.pl/oferta/prokocim-3-pokoje-ID3WYmU.html#3f7ebb237a;2019-03-07 15:26:01.297515;
Apartament u stóp Wawelu;: Stare Miasto;2 pokoje;745000;52,50;14 190;https://www.otodom.pl/oferta/apartament-u-stop-wawelu-ID3Wbnu.html#85fbb29208;2019-03-07 15:26:02.252060;
w s¹siedztwie Rynku G³ównego / 2 miejsca postojowe;: Stare Miasto;4 pokoje;777000;87,20;8 911;https://www.otodom.pl/oferta/w-sasiedztwie-rynku-glownego-2-miejsca-postojowe-ID3WKZS.html#85fbb29208;2019-03-07 15:26:02.253062;
Bezpoœrednio - 2 pokoje Nowa Huta 37m2;: Nowa Huta;2 pokoje;234000;37,00;6 324;https://www.otodom.pl/oferta/bezposrednio-2-pokoje-nowa-huta-37m2-ID3WYov.html#85fbb29208;2019-03-07 15:26:02.253062;
Bezpoœrednio - Kawalerka os.Strusia 25m2;: Nowa Huta;1 pokój;228000;25,00;9 120;https://www.otodom.pl/oferta/bezposrednio-kawalerka-os-strusia-25m2-ID3WYIY.html#85fbb29208;2019-03-07 15:26:02.253062;
Kawalerka Kraków Podgórze;: Podgórze;1 pokój;180000;17,60;10 227;https://www.otodom.pl/oferta/kawalerka-krakow-podgorze-ID3WXBV.html#85fbb29208;2019-03-07 15:26:02.253062;
