ID;District;Elevation;Slope;Aspect;Aspect_num;ELE;ELE_Geo;Age;Dg;HL;V;SI;geology;geology2;Geo;Geology3;TPI200;TPI500;TPI1000;TPI2000;SP200;SP500;SP1000;SP2000
165;Wêgierska Górka;925;15,2;NW;355;2;20;108;38,95696087;30,67524735;414,3886548;31,4;Slaska;Slaska;0;Istebnianskie dolne;0,80005;-19,433;-37,319;-21,78;4;2;2;4
166;Ujsoˆy;980;18;NW;270;3;31;92;44,47248213;33,57357563;697,1927535;36,1;Magurska;Magurska;1;Warstwy ˆ¥ckie;-8,0893;-9,1085;12,787;83,894;2;4;4;5
167;Wêgierska Górka;845;15;SW;193;2;21;49;20,92093449;19,63931561;320,9663531;33,8;Magurska;Magurska;1;Warstwy ropianieckie;5,0842;19,552;21,598;-20,179;4;5;4;4
168;Wisˆa;895;17;SW;190;2;20;99;41,0037041;31,63552097;617,7169838;34;Slaska;Slaska;0;Istebnianskie dolne;-12,233;-33,167;-42,42;-19,987;1;1;2;4
169;Ujsoˆy;805;14;NE;0;2;21;76;38,50486518;33,86785667;513,368338;38,4;Magurska;Magurska;1;Warstwy ˆ¥ckie;-28,457;-83,286;-131,79;-150,8;1;1;1;1
170;Wêgierska Górka;970;15;NE;31;3;30;86;34,36758458;26,10099497;420,8078794;29,9;Slaska;Slaska;0;Istebnianskie dolne;5,4158;18,921;56,375;126,86;5;5;6;6
171;Wêgierska Górka;1170;30;NW;280;3;31;107;29,09061991;22,50398685;553,1230541;24,5;Slaska;Slaska;1;Godulskie gorne;-32,406;-76,054;-67,157;4,0759;1;1;1;4
173;Ujsoˆy;680;25;SW;190;1;11;79;33,05256303;31,63480674;642,6296241;36,4;Magurska;Magurska;1;Warstwy ropianieckie;-13,549;-45,698;-71,216;-95,858;1;1;1;1
174;Ujsoˆy;840;10;NE;85;2;21;62;25,48977282;24,88085993;538,5362788;33,9;Magurska;Magurska;1;Warstwy ropianieckie;5,5668;5,4443;-2,9122;-3,8034;4;4;4;4
175;Ujsoˆy;740;29;SE;140;1;11;114;42,73896619;36,71263771;863,6428905;38,1;Magurska;Magurska;1;Warstwy Magurskie;-6,6414;-32,254;-67,23;-98,863;4;2;1;1
176;Ujsoˆy;845;27;SW;260;2;21;68;32,02090984;27,69541358;643,3818962;34,6;Magurska;Magurska;1;Warstwy ˆ¥ckie;30,849;74,166;53,646;9,3156;6;6;5;4
177;Wisˆa;545;17;NW;320;1;10;73;32,09162923;31,48168104;503,8987202;37,3;Slaska;Slaska;0;Istebnianskie dolne;-1,4009;-28,569;-63,283;-62,28;4;2;1;2
178;Wêgierska Górka;810;19;SW;180;2;20;125;37,46389544;34,89477293;641,4031293;35,4;Slaska;Slaska;0;Istebnianskie dolne;7,0984;27,29;57,276;94,539;5;6;6;6
179;Wêgierska Górka;1025;23;NE;60;3;30;108;33,42622889;25,82480982;309,5560802;26,9;Slaska;Slaska;0;Istebnianskie dolne;-10,824;8,2616;45,569;71,036;2;4;5;5
180;Wêgierska Górka;920;13;SE;140;2;20;111;41,56060835;33,76617235;696,0160164;35,3;Slaska;Slaska;0;Istebnianskie dolne;6,4084;5,3421;-47,196;-61,276;5;4;1;2
181;Wisˆa;625;25;SE;140;1;10;141;43,05841962;37,13994102;297,3218377;35,1;Slaska;Slaska;0;Istebnianskie dolne;-15,042;-30,533;12,643;22,245;1;1;4;5
182;Wêgierska Górka;665;5;SW;181;1;10;81;44,44626868;35,00694971;596,6532432;39;Slaska;Slaska;0;Istebnianskie dolne;-16,363;-39,765;-69,405;-108,88;1;1;1;1
183;Wêgierska Górka;630;24;NE;58;1;10;92;34,13532872;33,81817285;420,3846135;37;Slaska;Slaska;0;Istebnianskie dolne;1,4382;-2,9394;-4,3997;-55,196;4;4;4;2
